"Year","month","SubwayLine","total_gated_entries","year"
2023,6,"BLUE",1201983.4,2023
2023,6,"GREEN",1400989.67150898,2023
2023,6,"MATTAPAN",76741.630832,2023
2023,6,"ORANGE",1947946.20999999,2023
2023,6,"RED",2367517.15,2023
2023,6,"SILVER",165227.9,2023
2023,7,"BLUE",1271121.4,2023
2023,7,"GREEN",1423816.60429998,2023
2023,7,"MATTAPAN",71641.726784,2023
2023,7,"ORANGE",1978413.4,2023
2023,7,"RED",2328768.46,2023
2023,7,"SILVER",159804.8,2023
2023,8,"BLUE",1361132.1,2023
2023,8,"GREEN",1470677.73421198,2023
2023,8,"MATTAPAN",75241.7267839999,2023
2023,8,"ORANGE",2119441.76,2023
2023,8,"RED",2353498.07,2023
2023,8,"SILVER",159369,2023
2023,9,"BLUE",1037215.2,2023
2023,9,"GREEN",1337817.55113898,2023
2023,9,"MATTAPAN",74688.7668499998,2023
2023,9,"ORANGE",2056810.36999999,2023
2023,9,"RED",2368681.11,2023
2023,9,"SILVER",153582.6,2023
2023,10,"BLUE",1086605.9,2023
2023,10,"GREEN",1358716.80765798,2023
2023,10,"MATTAPAN",35898.623481,2023
2023,10,"ORANGE",2326083.50999999,2023
2023,10,"RED",2304580.98000001,2023
2023,10,"SILVER",159699.3,2023
2023,11,"BLUE",987225.7,2023
2023,11,"GREEN",1254603.32436399,2023
2023,11,"MATTAPAN",69845.758815,2023
2023,11,"ORANGE",2117806.84,2023
2023,11,"RED",2145530.60000001,2023
2023,11,"SILVER",154017.2,2023
2023,12,"BLUE",914401.599999999,2023
2023,12,"GREEN",975150.897811991,2023
2023,12,"MATTAPAN",67289.4707850001,2023
2023,12,"ORANGE",1943742.03,2023
2023,12,"RED",1992006.77,2023
2023,12,"SILVER",142956.7,2023
2024,1,"BLUE",851396.199999999,2024
2024,1,"GREEN",397651.459999999,2024
2024,1,"ORANGE",2017798.27999999,2024
2024,1,"RED",2058140.96000001,2024
2024,1,"SILVER",145409.1,2024
2024,2,"BLUE",868346.499999999,2024
2024,2,"GREEN",987306.596760396,2024
